Age,Gender,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditScore,EmploymentStatus,MaritalStatus,PropertyArea,Output
56,Male,69158,30089,649711,285,577,Self-employed,Married,Semiurban,0
46,Female,40286,21348,65851,55,462,Employed,Divorced,Urban,0
32,Female,31533,5877,49566,93,649,Employed,Widowed,Urban,0
60,Female,20316,43488,750129,26,330,Self-employed,Divorced,Rural,1
25,Male,10699,18904,400927,237,757,Employed,Divorced,Rural,0
38,Male,60465,20792,148603,48,390,Unemployed,Single,Rural,0
56,Male,18673,26037,254104,28,427,Self-employed,Widowed,Semiurban,0
36,Female,25395,17335,728018,221,847,Self-employed,Married,Rural,0
40,Male,25707,14659,8779,282,808,Self-employed,Divorced,Rural,0
28,Male,77937,29684,639966,199,536,Self-employed,Single,Urban,1
28,Female,58416,964,266752,220,832,Self-employed,Single,Urban,0
41,Female,10758,34902,12317,184,350,Self-employed,Widowed,Rural,1
53,Female,69009,35012,717256,148,768,Unemployed,Single,Urban,1
57,Male,15281,35571,529447,319,687,Self-employed,Single,Urban,0
41,Female,34548,3911,130373,31,361,Employed,Widowed,Rural,0
20,Male,20371,11216,586403,223,642,Employed,Divorced,Rural,0
39,Male,79593,1408,203737,64,452,Employed,Single,Rural,0
19,Female,21644,21621,24462,351,340,Self-employed,Divorced,Rural,1
41,Female,25874,20977,220221,50,785,Employed,Divorced,Rural,0
61,Female,16281,13195,794349,229,681,Unemployed,Divorced,Urban,0
47,Female,70787,43938,417613,355,395,Employed,Married,Semiurban,0
55,Female,24289,40431,293269,261,592,Self-employed,Widowed,Urban,0
19,Male,7054,42577,247141,115,534,Unemployed,Widowed,Rural,1
38,Male,68846,7113,721089,325,640,Unemployed,Divorced,Semiurban,1
50,Male,51769,40910,760243,345,837,Unemployed,Single,Semiurban,0
29,Female,31312,22761,314421,255,649,Employed,Married,Semiurban,0
39,Male,6257,24992,65715,82,506,Employed,Married,Urban,0
61,Female,17846,13778,170800,288,790,Self-employed,Widowed,Rural,0
42,Female,24483,21985,166864,92,680,Unemployed,Married,Urban,0
44,Male,28558,4367,537190,255,440,Self-employed,Divorced,Semiurban,0
59,Male,45188,45447,650633,213,322,Self-employed,Divorced,Urban,0
45,Female,15012,10786,84569,164,663,Self-employed,Widowed,Rural,0
33,Male,35236,45780,564446,17,447,Unemployed,Widowed,Urban,0
32,Female,47076,42706,760083,230,850,Unemployed,Married,Semiurban,1
64,Male,50402,44461,8917,306,804,Self-employed,Single,Semiurban,0
61,Male,34076,30908,230019,37,517,Unemployed,Married,Urban,0
20,Male,77164,11051,737718,59,781,Employed,Widowed,Rural,0
54,Male,76264,36746,108246,247,715,Unemployed,Divorced,Rural,0
24,Male,19335,15611,472106,120,624,Employed,Divorced,Rural,0
38,Female,45773,4490,29691,293,788,Unemployed,Single,Urban,0
26,Male,54158,31313,487706,109,707,Self-employed,Single,Semiurban,0
56,Male,30570,6377,600022,316,443,Self-employed,Married,Urban,0
35,Male,42658,9903,555334,302,510,Employed,Divorced,Semiurban,1
21,Female,61184,14567,682746,132,558,Employed,Married,Urban,0
42,Female,74613,22885,157598,45,526,Unemployed,Single,Semiurban,1
31,Female,60194,28222,123540,77,671,Employed,Widowed,Rural,0
26,Female,69507,48556,48798,240,690,Self-employed,Married,Urban,0
43,Female,35959,26606,513446,252,387,Unemployed,Married,Rural,0
19,Male,55072,17440,652581,299,699,Employed,Divorced,Urban,0
37,Male,47588,2260,423473,252,608,Self-employed,Divorced,Rural,0
45,Male,42533,30267,718345,317,303,Self-employed,Divorced,Semiurban,0
64,Female,70582,27002,451346,39,472,Unemployed,Married,Semiurban,0
24,Female,63743,16833,776480,134,843,Unemployed,Divorced,Semiurban,1
61,Male,46518,49720,603684,15,525,Unemployed,Divorced,Semiurban,1
25,Female,14703,3498,424861,173,638,Unemployed,Single,Urban,0
64,Female,51456,46729,422405,277,505,Employed,Divorced,Semiurban,0
52,Female,57491,10518,610586,221,401,Unemployed,Widowed,Rural,0
31,Male,10043,12501,137040,245,357,Employed,Single,Rural,0
34,Male,70340,22254,272944,19,449,Self-employed,Married,Urban,0
53,Female,12176,34076,325668,95,551,Unemployed,Married,Urban,0
57,Female,5936,15902,101585,23,778,Unemployed,Divorced,Semiurban,0
21,Female,33174,33485,427933,345,727,Unemployed,Widowed,Urban,0
19,Female,27909,25545,387423,174,841,Unemployed,Single,Semiurban,0
23,Male,46158,3345,485519,61,823,Unemployed,Divorced,Urban,1
59,Female,10366,15370,471222,169,790,Unemployed,Single,Semiurban,0
